front,back
cord,"sznur, sznurek, przewód, wiązadło, sztruks"
insight,"wnikliwość, wgląd, zrozumienie, rozeznanie"
flux,"topnik, strumień, przepływ, ciągły ruch, zmiana, wypływ, wyciek, płynąć"
inferior,"gorszy, niższy, podrzędny"
roger,"przyjąć, zrozumieć, bzykać, dymać, pieprzyć się"
specialist,"specjalista, specjalistka, specjalistyczny"
spouse,"małżonek, małżonka"
reduces,"zmniejszać, redukować, obniżać"
nucleus,"jądro, centrum, istota, podstawa"
sociology,socjologia
liquor,napój alkoholowy
eternal,"wieczny, wiekuisty, odwieczny, niezmienny"
dioxide,"dwutlenek, ditlenek"
broadcasting,"nadawanie, transmisja, dyfuzja, radiofonia, telewizja"
northeast,"północny wschód, północno-wschodni, na północny wschód"
innocent,"niewiniątko, naiwniak, naiwniaczka, niewinny, naiwny, nieświadomy"
carriage,"karetka, kareta, powóz, wagon, laweta, wózek sklepowy"
precipitation,"opad atmosferyczny, opad, wytrącanie, wydzielanie"
issuance,"wydanie, emisja"
resort,"kurort, miejscowość wypoczynkowa, uzdrowisko"
maritime,"morski, żeglarski"
suspected,"podejrzany, domniemany, podejrzewać"
contention,"spór, niezgoda, konflikt, sprzeczka, rywalizacja, twierdzenie"
barely,"ledwo, ledwie, zaledwie, prawie nie"
telegraph,"telegraf, telegrafować, nadawać telegram"
enthusiasm,"entuzjazm, zapał"
proportional,"proporcjonalny, współmierny, odpowiedni, stosowny"
optimal,optymalny
prohibition,"zakaz, prohibicja"
lime,"wapno, limonka"
deviation,"odchylenie, odstępstwo, zboczenie, dewiacja, odejście"
destination,"przeznaczenie, cel, kierunek, miejsce docelowe"
motivation,"motywacja, zachęta"
tolerance,"tolerancja, wytrzymałość, tolerowanie"
beat,"bić, uderzać, pulsować, rytm, uderzenie, pokonać, zwyciężać"
glance,"zerknąć, rzucić okiem, spojrzeć, rzut oka, błysk"
healing,"uzdrawianie, gojenie"
shelter,"schronienie, schron, przytułek, osłona, chronić, schronić się"
abundance,"obfitość, dostatek, bogactwo"
textile,"tkanina, materiał, tekstylny, włókienniczy"
enables,"umożliwiać, pozwalać"
phosphate,fosforan
posterior,"tylny, zadni, późniejszy, kolejny"
reproduced,"reproduktować, powielać, reprodukowany"
grid,"kratka, siatka, sieć, plansza"
horizon,"horyzont, nieboskłon"
geological,geologiczny
lien,"zastaw, prawo zastawu"
ongoing,"toczący się, w toku, trwający"
vein,"żyła, żyłka, żyłkować, żyłkowanie, formacja rudna"
guardian,"obrońca, stróż, opiekun, kurator, strażnik"
regression,"regresja, cofanie się"
intake,"spożycie, spożywanie, nabór, ssanie"
privacy,"prywatność, poufność"
synthetic,"syntetyczny, sztuczny"
puerto,"port, przystań"
boiler,"bojler, kocioł, kocioł parowy"
discount,"zniżka, upust, rabat, obniżka, dyskonto, odliczenie, potrącenie, obniżać, odliczać, dyskontować"
abnormal,"nienormalny, nieprawidłowy, niewłaściwy, patologiczny"
diplomatic,dyplomatyczny
renal,nerkowy
prosperity,"pomyślność, powodzenie, szczęście, dobrobyt, koniunktura"
precious,"cenny, drogocenny, szlachetny"
urine,"mocz, uryna"
tourism,turystyka
knight,"rycerz, skoczek, walet"
bitter,"gorzki, trudny do zaakceptowania lub zniesienia, bardzo zimny, zawzięty, cyniczny"
attracted,"przyciągnięty, zainteresowany"
citizenship,obywatelstwo
realistic,realistyczny
admiral,admirał
collaboration,"współpraca, kolaboracja"
sheriff,szeryf
architectural,architektoniczny
cumulative,"kumulatywny, narastający, skumulowany"
corrosion,korozja
residual,"pozostały, resztkowy, szczątkowy, rezydualny"
cavity,"jama, ubytek, dziura, dół"
surgeon,chirurg
instructor,"nauczyciel, nauczycielka, instruktor, instruktorka"
friction,"pocieranie, tarcie, konflikt"
adaptation,"dostosowanie, adaptacja"
consumed,"zużyty, spożyty, pochłonięty, skonsumowany"
continuation,"kontynuacja, ciąg dalszy, wznowienie"
faithful,"wierny, oddany, sumienny, godny zaufania, wiernie oddający szczegóły"
hired,"zatrudniony, wynajęty"
expertise,"wiedza, umiejętność, kompetencja, biegłość, wprawa, znajomość"
meaningful,"znaczący, sensowny"
therapeutic,"leczniczy, terapeutyczny"
chapel,kaplica
fur,"sierść, futro, puszek, podszycie"
geometry,geometria
enactment,"rozporządzenie, zarządzenie, ustawa, wprowadzenie w życie, odegranie roli"
sacrifice,"ofiara, poświęcenie, składać, poświęcać"
reservation,"zastrzeżenie, rezerwacja"
enclosed,"dołączony, załączony, otoczony"
launched,"uruchomiony, wystrzelony, wprowadzony na rynek, rozpoczęty"
shear,"strzyc, ścinać, nożyce do strzyżenia, obcinać wełnę"
companion,"kompan, towarzysz"
butler,kamerdyner
resist,"stawiać opór, opierać się, być odpornym"
indirectly,"pośrednio, okrężną drogą"
gravel,żwir
guinea,"gwinea, makaroniarz"
fatigue,"zmęczenie, wyczerpanie, męczyć, trudzić"
stimulus,bodziec
receptor,receptor
induction,indukcja
node,"węzeł, wierzchołek"
wherein,w którym
mud,błoto
aggressive,agresywny
auxiliary,pomocniczy
hazard,"niebezpieczeństwo, ryzyko, ryzykować"
explicitly,"jawnie, wyraźnie, wprost"
linguistic,"lingwistyczny, językoznawczy, językowy"
economically,"ekonomicznie, oszczędnie, gospodarnie"
physiological,fizjologiczny
fitting,"przymiarka, łącznik, montaż, okucie, oprawa, dopasowanie, stosowny, odpowiedni"
guilt,"wina, poczucie winy"
disc,"krążek, tarcza, płyta, dysk"
longitudinal,"podłużny, wzdłużny, południkowy, długookresowy"
shortage,"niedobór, brak, niedostatek"
architect,"architekt, budowniczy, autor, twórca"
clinic,"przychodnia, klinika"
studio,"studio, atelier, pracownia"
ecological,ekologiczny
pot,"garnek, donica, doniczka, marihuana, sadzić w doniczce, zakonserwować w słoiku"
cluster,"klaster, skupisko, zlepek, gromada, skupiać, przeprowadzać analizę skupień"
delta,delta
pit,"dół, jama, wgłębienie, nora, dziura, kopalnia, szyb, parter, otchłań, pacha, pestka, pułapka, boks, kanał, wyżerać, drylować owoc"
invested,"zainwestowany, zaangażowany"
generator,"prądnica, generator"
mankind,"ludzkość, rodzaj ludzki"
repeatedly,"wielokrotnie, raz po raz, wiele razy"
diagnostic,"diagnostyczny, diagnostyka, diagnoza"
continuity,ciągłość
elastic,"elastyczny, gumowy, ściągacz"
regiment,"regiment, pułk, sformować, ściśle kontrolować, trzymać żelazną ręką"
pulp,"miąższ, miazga, papka, pulpa, miażdżyć, rozcierać"
brass,"mosiądz, mosiężny, wysoki oficer, instrument dęty blaszany"
eighteenth,osiemnasty
distress,"strapienie, zmartwienie, zasmucenie, dolegliwość, nieszczęście, niedola, przykrość, niedostatek, rozpacz, udręka, martwić, dręczyć, smucić, strapić, udręczać"
realm,"królestwo, dziedzina, sfera"
infantry,piechota
dutch,"holenderski, niderlandzki"
subsidiary,"zależny, dodatkowy, drugorzędny, filia"
approximation,aproksymacja
suicide,"samobójstwo, samobójca"
twentieth,"dwudziesty, dwudziesta część"
theological,teologiczny
seized,"zajęty, przejęty, zarekwirowany"
mason,"kamieniarz, mason, wolnomularz"
judiciary,"sądowniczy, sędziowski, sądowy, władza sądownicza, sądownictwo"
computation,"obliczenie, kalkulacja, liczenie"
hebrew,"hebrajski, hebrajczyk"
fertilizer,nawóz
differentiation,"różnicowanie, odróżnianie, różniczkowanie"
virtual,"wirtualny, pozorny, praktycznie, symulowany, potencjalny"
exit,"wyjście, ucieczka, zjazd, ewakuacja, wyjść"
steadily,"stale, stopniowo, równomiernie, jednostajnie"
mike,mikrofon
manpower,"siła robocza, zasoby ludzkie"
strengthen,"wzmacniać, wzmocnić"
tide,"przypływ, odpływ, pływ"
invitation,zaproszenie
severely,"surowo, srogo, ostro, ciężko, dotkliwie, drastycznie"
generous,"hojny, szczodry"
mexican,"meksykański, Meksykanin"
capita,"głowa, osoba"
peripheral,"urządzenie peryferyjne, obwodowy, peryferyjny, zewnętrzny"
conceptual,"pojęciowy, konceptualny"
coordinate,"koordynować, współrzędna, koordynata"
rico,"bogaty, pyszny"
whispered,"wyszeptany, szeptany"
renewed,"odnowiony, wznowiony, przedłużony"
summarized,"streszczony, podsumowany"
bronze,"brąz, brązowy, brązowy medal, opalać się na brązowo"
kidney,"nerka, cynaderka"
burst,"pękać, eksplodować, rozrywać, pęknięcie, eksplozja, wybuch, rozerwanie"
likelihood,prawdopodobieństwo
islam,islam
feasible,"możliwy, osiągalny, wykonalny"
glucose,"glukoza, glikoza"
tribunal,"trybunał, sąd"
publicly,publicznie
salmon,"łosoś, kolor łososiowy"
rainfall,"opad, opady"
charity,"dobroczynność, organizacja charytatywna, jałmużna, miłosierdzie"
jail,"więzienie, areszt, wsadzić do więzienia"
horn,"róg, klakson"
safely,"bezpiecznie, pewnie"
delicate,"delikatny, wrażliwy, subtelny"
biol,biologia
incorporation,"wcielanie, włączanie, dołączanie, inkorporacja"
plea,"błaganie, apel, usprawiedliwienie"
differs,"różni się, różnić się"
inability,niezdolność
hath,ma
silicon,krzem
virgin,"dziewica, prawiczek, prawiczka, nowicjusz, nowicjuszka, dziewiczy, niepokalany, nienaruszony, nietknięty"
maintains,"utrzymywać, zachować, podtrzymywać, konserwować"
excitement,"podekscytowanie, ekscytacja, podniecenie"
arab,"Arab, Arabka, arabski"
sewage,ścieki
recipient,"odbiorca, adresat, beneficjent"
consolidation,"scalenie, zjednoczenie, konsolidacja, wzmocnienie, umocnienie"
radius,"promień, kość promieniowa"
nominal,"nominalny, symboliczny, minimalny, rzeczownikowy"
amplitude,amplituda
painful,"bolesny, sprawiający ból, przykry"
liberation,"uwolnienie, wyzwolenie"
legally,"legalnie, prawnie, zgodnie z prawem"
fusion,"fuzja, połączenie, stapianie, topnienie"
laughter,śmiech
den,"legowisko, nora, kryjówka, melina, ukrywać się"
continually,"nieustannie, stale, ciągle, wciąż, regularnie"
timely,"terminowy, na czas, w samą porę, korzystny"
mandatory,"obowiązkowy, nakazowy, przymusowy"
assumes,"zakładać, przyjmować, domniemywać"
standpoint,punkt widzenia
loyalty,lojalność
substrate,substrat
competing,"konkurujący, rywalizujący"
substitution,"substytucja, zastąpienie, podstawienie"
victor,zwycięzca
warfare,"wojna, działania wojenne"
telecommunications,"telekomunikacja, łączność"
ruth,"litość, współczucie"
cultivated,"wykształcony, kulturalny, uprawiany, pielęgnowany"
incomplete,"niekompletny, niepełny, niedokończony"
immune,"odporny, wolny od, immunologiczny"
propagation,propagacja
salvation,"zbawienie, ocalenie, ratunek, wybawienie"
combat,"walka, bój, zwalczać, walczyć"
pregnant,"w ciąży, ciężarny"
fertility,płodność
politicians,politycy
turkish,"turecki, Turk, Turczynka"
physiology,fizjologia
inevitably,"nieuchronnie, nieodwołalnie"
examiner,"egzaminator, inspektor, śledczy"
ecology,ekologia
indigenous,"miejscowy, lokalny, tubylczy, rdzenny"
principally,głównie
recognised,"rozpoznawać, rozpoznany, uznawać, uznany"
senses,zmysły
melting,topnienie
mediterranean,"śródziemnomorski, Morze Śródziemne"
soluble,"rozpuszczalny, rozwiązywalny"
compromise,"kompromis, ugoda, narażać, kompromitować, iść na kompromis"
leaned,"pochylony, oparty, pochylić się, oprzeć"
writ,"nakaz, pismo urzędowe"
interim,"przejściowy, tymczasowy, okres przejściowy"
tech,"technologia, techniczny, technolog"
tragedy,"tragedia, dramat"
volunteers,ochotnicy
minimize,"minimalizować, zminimalizować, pomniejszać"
diabetes,"cukrzyca, moczówka prosta"
complications,"powikłania, komplikacje"
eligibility,"kwalifikacje, uprawnienia, zdolność, obieralność, wybieralność"
twin,"bliźniak, bliźniaczka, bliźniaczy"
terror,"strach, groza, przerażenie, terror"
uranium,uran
newton,niuton
urgent,"pilny, naglący"
myth,mit
shale,łupek
constructive,"konstruktywny, konstrukcyjny, pomocny"
ceremony,"ceremonia, uroczystość, obrzęd, ceremoniał"
levy,"danina, opłata, pobierać, nakładać, ściągać"
funeral,"pogrzeb, uroczystość pogrzebowa, pogrzebowy"
juvenile,"nieletni, młodociany, dziecinny, młodzieńczy"
cave,"jaskinia, grota, piwnica, pustelnia, poddać się, poddawać się"
needle,"igła, wskazówka, nawlekać igłę"
ordinarily,"zwykle, zazwyczaj, zwyczajnie, normalnie"
transverse,poprzeczny
artillery,artyleria
subpart,"podczęść, podrozdział"
reign,"panowanie, panować, królować"
borough,"dzielnica, okręg wyborczy, gmina, jednostka administracyjna"
conform,"zgadzać się, dostosować się, dopasować, spełniać"
reorganization,"reorganizacja, przegrupowanie, restrukturyzacja"
blessed,"błogosławiony, szczęśliwy, pobłogosławić, poświęcić"
motive,motyw
naked,"nagi, obnażony, goły"
porter,"bagażowy, odźwierny, portier"
derivatives,"pochodne, instrumenty pochodne"
anglo,"anglo-, angielski, anglosaski"
similarity,podobieństwo
tribal,plemienny
equitable,sprawiedliwy
inheritance,"spadek, dziedzictwo, dziedziczenie"
sediment,osad
certainty,"pewność, pewnik"
disturbance,"zakłócenie, zaburzenie, niepokój, poruszenie"
summit,"szczyt, wierzchołek, góra, maksimum, apogeum"
angular,"kątowy, kanciasty"
quartz,"kwarc, kwarcowy, kryształ, metamfetamina"
challenged,"zakwestionowany, podważony"
welcome,"witać, przywitać, przyjmować, witaj, mile widziany, powitalny, powitanie"
enrollment,"rekrutacja, nabór, zapisy"
convey,"przekazać, przenosić, wyrażać, oddawać, przewozić, transportować, zanieść, doprowadzić, cedować"
nonetheless,niemniej jednak
aggregate,"łączyć, agregować, zbierać, grupować, agregat, zespół, masa, całość, suma, skupienie, łączny, sumaryczny, zbiorowy, nagromadzić, zagregować"
downward,"pochyły, zniżkowy, w dół"
immunity,"odporność, immunitet, nietykalność, uwolnienie, zwolnienie"
caution,"ostrożność, ostrzeżenie, upomnienie, ostrzegać, przestrzegać, upominać"
pertinent,"stosowny, trafny, na temat"
rescue,"ratunek, oswobodzenie, ocalenie, pomoc, wyratowanie, ratownictwo, obrona, ratunkowy, ratowniczy, ocalać, ratować, oswabadzać, zbawiać"
unexpected,niespodziewany
foster,"przybrany, zastępczy, wychowywać, brać na wychowanie, rozwijać, popierać, promować, sprzyjać, żywić, umieszczać w rodzinie, opiekować się"
composite,"złożony, kompozytowy, wielowarstwowy, kompozyt, połączenie"
reward,"nagroda, wynagrodzenie, odpłata, nagradzać, wynagradzać"
sovereignty,suwerenność
stuck,"utknąć, zablokować, unieruchomić, utknięty"
basal,podstawowy
defeated,"pokonany, przegrany"
extensively,"obszernie, szeroko, rozlegle"
exploitation,"eksploatacja, wykorzystanie, wyzysk"
dull,"matowy, tępy, nudny, jednostajny, stłumiony, tępić, stłumić"
permanently,"na stałe, trwale, permanentnie"
hydraulic,hydrauliczny
degradation,degradacja
stretch,"napinać, naprężać, rozciągać, przeciągać się, naciągać, naginać, rozciągać się, odcinek, droga, czas, szeroki, przestrzeń, bezkres, akwen, rozciągalność, nadużycie, naciąganie"
municipality,"gmina, miasto, jednostka samorządu terytorialnego"
governance,"zarządzanie, kierowanie, kierownictwo, styl kierowania"
covenant,"ugoda, umowa, przymierze, zawrzeć umowę"
autonomy,autonomia
vapor,"para, opary, para wodna, ulotnić się"
gdp,"PKB, produkt krajowy brutto"
announcement,"ogłoszenie, zawiadomienie, obwieszczenie, oznajmienie, meldunek, zapowiedź"
cardiac,"sercowy, nasercowy"
mentally,"psychicznie, umysłowo"
impressive,"imponujący, robiący wrażenie, uderzający"
propaganda,propaganda
warehouse,"magazyn, skład, hurtownia"
jointly,"wspólnie, razem"
ingredients,"składniki, komponenty"
injunction,"nakaz, zakaz, nakaz sądowy, zakaz sądowy"
expiration,"wygaśnięcie, utrata ważności, przedawnienie"
unemployed,bezrobotny
defines,"definiować, określać"
electrode,elektroda
chap,"facet, gość, typ, chłop, człek, chłopak, denerwować, wkurzać"
splendid,"wspaniały, okazały, doskonały"
shame,"wstyd, zawstydzać, przynieść wstyd"
portfolio,"aktówka, teczka, portfolio, teka, portfolio ministerialne, portfel"
reliance,"zaufanie, poleganie"
exhausted,"wyczerpany, wykończony, bardzo zmęczony, ledwo żywy"
capitalism,kapitalizm
accommodate,"zakwaterować, ulokować, dać mieszkanie, dać nocleg, dostosować, mieścić, pomieścić"
induce,"wywoływać, wywołać, indukować"
amer,Amerykanin
charitable,"dobroczynny, charytatywny, życzliwy, łaskawy, wyrozumiały, miłosierny, wspaniałomyślny"
pathology,patologia
argentina,Argentyna
spontaneous,spontaniczny
drag,"wlec, ciągnąć, przeciągać się, dłużyć się, zaciągnięcie, opór powietrza, strój"
monopoly,monopol
indonesia,Indonezja
unfortunate,"nieszczęśliwy, pechowy, niefortunny"
chile,Chile
suspicion,podejrzenie
bold,"pogrubić, pogrubiony, śmiały"
crude,"surowy, nieopracowany, przybliżony, prosty, prymitywny, niewybredny, ordynarny, nieoczyszczony, substancja"
individually,indywidualnie
nickel,"nikiel, moneta, pięciocentowy, niklować"
inhibition,"zahamowanie, hamowanie, powstrzymanie, powstrzymywanie, zakaz"
defective,"wadliwy, ułomny"
biography,biografia
hostile,"wrogi, nieprzyjazny"
eager,"chętny, gorliwy, żarliwy"
outdoor,zewnętrzny
variability,"zmienność, niestałość"
gallons,"galon, galony"
demonstrates,"demonstrować, wykazywać"
ideological,ideologiczny
elaborate,"starannie, dokładnie, przygotować, szczegółowo, przygotowywać, rozwijać, dopracowywać"
vulnerable,"wrażliwy, podatny, nieodporny, zagrożony"
waiver,"zrzeczenie, się"
collateral,"zabezpieczenie, poboczny, dodatkowy"
prophet,"prorok, jasnowidz, wróżbita"
providence,opatrzność
historian,historyk
hull,"kadłub, łupina, strąk, łuska, szypułka, otoczka, łuskać, obierać"
breathing,"oddychanie, odpowietrzanie"
encouragement,"zachęta, wsparcie, wspieranie, ośmielanie"
simplicity,"prostota, naiwność, prostactwo"
collar,"kołnierz, obroża"
beneficiary,"beneficjent, obdarowany, spadkobierca"
librarian,"bibliotekarz, bibliotekarka"
chase,"pogoń, ganiać, ścigać, uganiać się"
questionnaire,kwestionariusz
bacterial,bakteryjny
void,"pusty, próżny, nieważny, pustka, próżnia, renons, unieważniać"
collapse,"upadek, zapaść, rozpad, zawalenie się, załamanie się, runąć, mdleć, zasłabnąć"
continental,kontynentalny
formally,"formalnie, oficjalnie, urzędowo"
contamination,"skażenie, zanieczyszczenie"
nowhere,"nigdzie, donikąd"
interrupted,"przerwany, zakłócony, przerywać"
wrapped,"owinięty, opakowany, zapakowany"
explosion,"eksplozja, wybuch"
dare,"mieć śmiałość, ośmielić się, odważyć się, wyzywać, prowokować, ryzykować"
steep,"stromy, gwałtowny, zaparzyć, namoczyć, zanurzyć"
sickness,"choroba, dolegliwość, nudności, chorobowy"
confirmation,"potwierdzenie, bierzmowanie, konfirmacja"
barrel,"beczka, beczułka, baryłka, lufa, bęben, tuleja, sprężyna, zegar, tułów, beczkować"
graphic,"graficzny, obrazowy, rysunek, grafika"
voyage,"rejs, podróż, wojaż, wojażować"
bleeding,"krwotok, krwawienie, krwawić"
traditionally,"tradycyjnie, zwyczajowo"
cabin,"kabina, kajuta, chata"
affection,"uczucie, miłość, sympatia"
marble,"marmur, kulka do gry, marmurowy, marmurkować"
concludes,"kończy, wnioskuje, podsumowuje"
indebtedness,"zadłużenie, zobowiązanie"
distinctly,"jasno, dobitnie, wyraźnie"
dirt,"brud, gleba"
bow,"ukłonić się, pokłonić się, kłaniać się, ugiąć się, schylić się, łuk, dziób, kokarda, smyczek"
orchestra,orkiestra
arrow,"strzałka, strzała"
pond,"staw, sadzawka"
offensive,"ofensywa, atak, ofensywny, obraźliwy, odrażający, przykry"
motives,motywy
bacon,"bekon, boczek"
destructive,destrukcyjny
depressed,"nieszczęśliwy, przygnębiony, załamany, cierpiący na depresję"
forecast,"zapowiadać, prognozować, prognoza"
conductivity,"przewodność właściwa, przewodnictwo, konduktywność"
photographic,"fotograficzny, zdjęciowy"
lamb,"jagnię, jagnięcina, rodzić"
bending,gięcie
lightly,"lekko, lekkomyślnie, beztrosko, niefrasobliwie, pochopnie, frywolnie, delikatnie"
useless,"niepotrzebny, nieprzydatny, bezużyteczny, bezcelowy, do niczego, na nic, płonny, zbędny"
bomb,"bomba, piękny, dziewczyna, fortuna, gruchot, zbombardować"
vague,"niejasny, nieokreślony"
landlord,"właściciel, wynajmujący, gospodarz"
patience,"cierpliwość, pasjans"
willingness,"chęć, gotowość"
ink,"atrament, tusz, tatuaż, tatuować"
parental,rodzicielski
conveyed,"przekazać, wyrazić, przekazany"
positively,"pozytywnie, dodatnio, niezbicie, kategorycznie, stanowczo, zdecydowanie, naprawdę"
vain,"próżny, daremny, bezcelowy"
lawful,"legalny, prawny, zgodny z prawem"
improper,"niewłaściwy, nieodpowiedni"
sensation,"doznanie, odczucie, wrażenie, sensacja"
proposes,"proponować, zaproponować"
settlers,osadnicy
officially,oficjalnie
socially,społecznie
complement,"dopełnienie, uzupełnienie, dopełniać, uzupełniać"
triumph,"triumfować, zatriumfować, triumf"
wagon,"wagon, wagon towarowy, wagonowy"
delight,"zachwyt, frajda, rozkosz, radość, uciecha, zachwycać, radować, uszczęśliwiać, delektować, zachwycać się, cieszyć się"
deprived,"pozbawiony, zubożały"
frost,"mróz, szron"
portable,przenośny
grabbed,"chwycić, złapać"
broadcast,"nadawać, emitować, wysyłać, rozpowszechniać, transmisja, audycja, nadawanie"
pause,"pauza, przerwa, przerywać, zatrzymywać, zatrzymywać się"
impaired,"upośledzony, osłabiony, nadwyrężony"
designer,"projektant, projektantka"
react,reagować
northwestern,północno-zachodni
bark,"kora, szczeknięcie, szczekać, warczeć, barka"
stupid,głupi
fellowship,"towarzystwo, bractwo, wspólnota, stowarzyszenie, stypendium naukowe"
magnificent,"wspaniały, świetny, okazały"
cure,"lek, lekarstwo, kuracja, leczyć, peklować"
excellence,"doskonałość, perfekcja"
boots,"buty, kozaki"
orbit,"orbita, oczodół, zasięg, okrążać, orbitować"
unified,"zjednoczony, zunifikowany"
desperate,"zdesperowany, desperacki, rozpaczliwy"
competitors,"konkurenci, rywale"
beloved,"ukochany, umiłowany, drogi"
straw,"słoma, słomka, słomiany"
obstacles,"przeszkody, utrudnienia"
faint,"mdleć, zemdleć, nikły, słaby, omdlenie"
monument,pomnik
outward,"zewnętrzny, powierzchowny, na zewnątrz"
instability,"niestabilność, chwiejność"
cole,kapusta
unpaid,"nieopłacony, niezapłacony, bezinteresowny"
hunger,"głód, pragnienie, tęsknota"
harbour,"port, przystań, schronienie, azyl, ukrywać, kryć, żywić"
crushed,"zmiażdżony, zgnieciony, zdruzgotany, załamany"
deaf,"głuchy, niedosłyszący"
favourable,"korzystny, przychylny, sprzyjający"
tent,namiot
fitness,"stosowność, zdatność, trafność, dostosowanie, sprawność, kondycja"
comedy,komedia
negotiated,"negocjować, wynegocjować"
overwhelming,przytłaczający
amazing,"niesamowity, fantastyczny, zdumiewający"
tightly,"mocno, kurczowo, ciasno, szczelnie"
humor,humor
simplified,uproszczony
endless,"niekończący się, nieskończony, niezliczony, niewyczerpany"
boom,"boom, bum, hossa, rozkwit, wzrost, skok, rozwijać się, prosperować"
conformity,"zgodność, zbieżność, dostosowanie, przystosowanie, konformizm"
refund,"refundować, zrefundować, zwracać, zwrócić, zwrot"
stir,"ruch, poruszenie, wzburzenie, podniecenie, zamieszanie, wrzawa, poruszać, mieszać"
accustomed,"przyzwyczajony, zwyczajowy, typowy"
herd,"stado, tabun, horda, tłum, zebrać się, wypasać"
devotion,"poświęcenie, oddanie, dewocja"
install,"instalować, zainstalować"
possesses,"posiadać, mieć"
terrorism,terroryzm
respectfully,z poważaniem
controversial,"kontrowersyjny, sporny"
lighter,"zapalniczka, lichtuga"
basement,"piwnica, suterena"
forbidden,"niedozwolony, zabroniony"
cruel,okrutny
loyal,"lojalny, wierny"
bet,"zakład, obstawianie, zakładać się, obstawiać, stawiać, postawić"
attraction,"atrakcja, atrakcyjność, przyciąganie, pociąg, pożądanie"
surprisingly,"zaskakująco, zadziwiająco"
deserve,zasługiwać
casual,"przypadkowy, dorywczy, swobodny, niedbały, luźny, na luzie"
despair,"rozpacz, rozpaczać"
alcoholic,"alkoholowy, alkoholik"
poetic,"poetycki, poetyczny"
sculpture,"rzeźba, rzeźbiarstwo, rzeźbić"
fortunate,"szczęśliwy, mieć szczęście"
recommends,"polecać, rekomendować"
lately,"ostatnio, niedawno"
prescription,"recepta, przepis, zalecenie"
decedent,"zmarły, denat"
forehead,czoło
gesture,"gest, gestykulacja, gestykulować, czynić gest, skinąć"
supporters,"zwolennik, zwolennicy, kibic, kibice"
recognizes,"rozpoznawać, rozpoznać, uznawać, uznać, zauważać, zauważyć, doceniać, uznawać za"
hip,"biodro, owoc dzikiej róży, modny, trendy, fajny"
arabic,"arabski, język arabski, Arab, Arabka"
convincing,"przekonujący, przekonywanie"
processor,procesor
pottery,"garncarstwo, ceramika, naczynia gliniane, garncarski, ceramiczny"
bounded,"ograniczony, ograniczać, wyznaczać granice"
poison,"trucizna, trutka, truć, otruć"
stamps,"znaczek, znaczki, pieczątka, pieczątki, stemplować"
curiosity,ciekawość
detention,"zatrzymanie, areszt tymczasowy, pozbawienie wolności"
defensive,"obronny, defensywny, defensywa"
procedural,"formalny, proceduralny"
advocates,"obrońca, obrońcy, orędownik, orędownicy, rzecznik, rzecznicy, bronić, popierać"
corpus,"zbiór, dzieło, materiał językoznawczy, korpus"
injected,"wstrzykiwać, wstrzyknąć"
mutually,wzajemnie
gratitude,wdzięczność
viewpoint,"punkt widzenia, stanowisko, punkt widokowy"
hungarian,"węgierski, Węgier, Węgierka"
sighed,"wzdychać, westchnąć"
scanning,skanowanie
tragic,tragiczny
airlines,linie lotnicze
incorrect,"niepoprawny, błędny, niestosowny"
philosopher,"filozof, filozofka"
accessories,akcesoria
lightning,"błyskawica, piorun, błyskawiczny, błyskawicowy"
adviser,doradca
thumb,kciuk
charm,"czar, urok, amulet, talizman, czarować, oczarować"
builders,budowniczowie
goodness,"dobro, dobroć"
sorrow,"smutek, żal"
standardized,"znormalizowany, ujednolicony, standaryzowany"
champion,"czempion, czempionka, mistrz, obrońca, orędownik, bronić"
blessing,błogosławieństwo
departmental,"wydziałowy, departamentalny, resortowy, oddziałowy"
parcel,paczka
chaos,chaos
mess,"bałagan, zamieszanie"
deadline,"ostateczny termin, termin ostateczny"
ferry,"prom, przewozić"
theft,kradzież
glorious,"wspaniały, chwalebny"
earnest,"poważny, usilny, gorliwy, szczerość, zaliczka"
responsive,"szybko reagujący, czuły"
enjoyment,przyjemność
proves,"udowodnić, dowodzić, okazać się"
workplace,miejsce pracy
arithmetic,arytmetyka
insertion,"wstawka, wstawienie, wklejka, wprowadzenie, umieszczenie, dodatek, dopisek, ogłoszenie"
updated,zaktualizowany
minus,"minus, ujemny"
plainly,"wyraźnie, jasno, otwarcie"
unusually,"niezwykle, wyjątkowo"
forgive,wybaczać
dot,"kropka, plamka, cętka, kropkować, plamić"
danish,"duński, Duńczyk, Dunka, drożdżówka"
incidental,"incydentalny, przypadkowy, nieistotny, towarzyszyć"
telegram,telegram
patrol,"patrol, zastęp, patrolować, pilnować"
luxury,"luksus, luksusowy"
wax,"wosk, woskować, rosnąć, wzrastać"
contributes,"przyczyniać się, wnosić, przekazywać"
whoever,ktokolwiek
warmth,"ciepło, serdeczność, żywość, uniesienie"
paradise,raj
kindly,"uprzejmie, życzliwie, uprzejmy, życzliwy"
hypertension,"nadciśnienie tętnicze, nadciśnienie"
afterward,"następnie, potem, później"
nutrient,"składnik pokarmowy, odżywczy, odżywczy"
rage,"wściekłość, furia, szaleć, wściekać się"
sworn,"zaprzysięgły, przysięgać"
temper,"nastrój, temperament, hartować, temperować, łagodzić"
phoenix,feniks
crash,"wypadek, katastrofa, huk, trzask, krach, zawiesić się"
exceedingly,"niezmiernie, nadzwyczaj, wyjątkowo"
