front,back
recorder,"rejestrator, magnetofon, flet prosty, protokolant"
fled,"uciec, uciekać"
sierra,"pasmo górskie, górzysty teren"
manipulation,manipulacja
sincere,szczery
alignment,wyrównanie
clergy,kler
convergence,zbieżność
evolutionary,ewolucyjny
ninth,dziewiąty
deterioration,pogorszenie
corridor,korytarz
sovereign,"monarcha, król, suweren, suwerenny, niezawisły"
distal,dystalny
presidency,"prezydentura, kadencja, urząd prezydenta"
radial,radialny
binary,"binarny, dwójkowy, podwójny, plik binarny"
compelling,"fascynujący, nieodparty, pociągający"
negligible,"nieistotny, pomijalny"
verified,"zweryfikowany, potwierdzony"
refining,"rafinacja, doskonalenie"
surroundings,"otoczenie, środowisko"
wavelength,długość fali
hemisphere,"półkula, półkula mózgowa"
catalyst,katalizator
bilateral,"dwustronny, obustronny"
neural,neuronowy
rightly,słusznie
steering,"sterowniczy, sterowy, układ kierowniczy"
booth,"budka, kiosk, stragan, kabina"
imagery,"obrazy, wyobrażenia, symbolika"
barn,stodoła
erroneous,"błędny, fałszywy, mylny"
prestige,"prestiż, renoma"
acad,"akad., akademicki, akademia"
piston,tłok
evaporation,parowanie
terminology,terminologia
concessions,"ustępstwa, koncesje, przywileje"
cylindrical,"cylindryczny, walcowaty"
messenger,"posłaniec, wysłannik, kurier, komunikator, serwis"
speculation,"spekulacja, domysł, rozważanie"
proliferation,proliferacja
cooperate,"współpracować, kooperować, współdziałać"
anonymous,anonimowy
analyst,"analityk, analityczka"
freeman,"wyzwoleniec, człowiek wolny"
carved,"rzeźbiony, wyrzeźbiony, rzeźbić"
pathway,"ścieżka, droga, tor, przejście"
microscope,mikroskop
muscular,"mięśniowy, umięśniony, rozbudowany"
methyl,metyl
remarkably,"znacząco, wybitnie, niezwykle"
proclamation,"proklamacja, orędzie, obwieszczenie"
pavement,"chodnik, nawierzchnia, bruk, asfalt"
gage,"wskaźnik, miernik, -mierz, mierzyć, oceniać, szacować"
cannon,"armata, działo"
reinforcement,"wzmocnienie, zasilenie, wsparcie, umocnienie"
ignorant,"nieświadomy, niedouczony, ciemny"
prey,"ofiara, zdobycz, żerować, polować"
abdomen,brzuch
voluntarily,dobrowolnie
privileged,uprzywilejowany
decorated,"ozdobiony, dekorowany, dekorować"
identifies,"identyfikować, rozpoznawać"
finely,"drobno, delikatnie, finezyjnie"
nonprofit,"non-profit, niedochodowy, charytatywny"
manganese,mangan
overlap,"pokrywać się, nakładać się, zachodzić na siebie, nakładanie, zachodzenie, część wspólna"
roller,"wałek, walec, rolka, krążek"
resignation,"rezygnacja, ustąpienie, dymisja, pogodzenie się"
inflammatory,"podburzający, zapalny"
contended,"twierdził, rywalizować, toczyć spór, twierdzić, utrzymywać,"
clarity,"klarowność, jasność, przejrzystość"
assay,"próba, analiza, badanie, analizować, testować"
introductory,wstępny
coherent,"spójny, logiczny, zrozumiały, czytelny"
laborers,"robotnik, pracownik fizyczny, robotnicy, pracownicy fizyczni"
outbreak,"wybuch, ognisko"
distortion,"zniekształcenie, dystorsja, odkształcenie"
solicitor,"adwokat, radca prawny, notariusz, pełnomocnik"
aluminium,"aluminium, glin"
malignant,złośliwy
dip,"zanurzenie, zanurzać, spadek, obniżenie, kąpiel"
reluctant,niechętny
vaccine,szczepionka
seizure,"zajęcie, konfiskata, atak, napad, przejęcie, napad padaczkowy"
twisted,"skręcony, pokręcony, zniekształcony, przewrotny"
probate,"poświadczenie, zatwierdzenie testamentu, postępowanie spadkowe"
microwave,"mikrofalówka, mikrofalować, podgrzewać w mikrofali"
canvas,"płótno, brezent, malarskie płótno"
polarization,polaryzacja
quota,"udział, przydział, limit, kontyngent"
chromosome,chromosom
humidity,"wilgotność, wilgoć"
ammunition,amunicja
marshal,"marszałek, dowodzić, zarządzać"
welsh,"walijski, Walijczyk,"
spectral,"spektralny, widmowy"
upright,"pionowy, wyprostowany, uczciwy, prawy"
economists,"ekonomista, ekonomiści"
canon,"kanon, kanonik"
exclaimed,"wykrzyknąć, zawołać, wykrzyczeć"
automation,automatyzacja
adolescents,"nastolatek, nastolatka, nastolatkowie"
instructional,"instrukcyjny, instruktażowy, szkoleniowy"
demographic,demograficzny
permissible,"dozwolony, dopuszczalny, możliwy"
obedience,"posłuszeństwo, uległość"
suburban,podmiejski
fulfill,"spełnić, wypełnić, realizować"
hint,"wskazówka, podpowiedź, aluzja, sugerować, zasugerować"
plateau,"płaskowyż, okres stagnacji"
seventeenth,siedemnasty
overlooked,"przeoczony, pominięty, ignorowany"
appropriately,"odpowiednio, właściwie, stosownie"
uptake,"wchłanianie, pobieranie, przyswajanie, zrozumienie"
transcript,"stenogram, transkrypcja, zapis, transkrypt"
trademark,"znak towarowy, znak handlowy, marka, firmowy, rejestrować,"
waist,"talia, pas, przewężenie"
inappropriate,"niewłaściwy, nieodpowiedni"
facial,twarzowy
esteem,"szacunek, estyma, darzyć, doceniać, szacować, oceniać"
pierce,"przebijać, przekłuwać, przeszywać"
tomb,"grób, mogiła, grobowiec"
historically,historycznie
arbor,"pergola, trzpień, oś"
lap,"kolano, okrążenie, etap, pluskać"
dye,"barwnik, barwa, barwić, plamić"
irrelevant,"nieistotny, niezwiązany, niepowiązany"
indispensable,"niezbędny, niezastąpiony, konieczny, nieodzowny"
seismic,sejsmiczny
volatile,"lotny, ulotny, zmienny, nietrwały"
satisfactorily,zadowalająco
moist,"wilgotny, nawilżony"
dilemma,dylemat
militia,"milicja, gwardia obywatelska"
decent,"przyzwoity, porządny"
dosage,"dawka, dawkowanie"
consul,konsul
mistress,"kochanka, gospodyni, mistrzyni"
axes,"oś, osie, topór, topory"
kinetic,kinetyczny
attainment,"zdobywanie, zdobycie, osiągnięcie"
auction,"aukcja, licytacja, przetarg, sprzedawać, licytować"
matt,matowy
applicability,"odpowiedniość, stosowność"
robust,"odporny, krzepki"
explosive,"materiał wybuchowy, wybuchowy, nerwowy, drażliwy, trudny"
milling,"mielenie, frezowanie"
archaeology,archeologia
metaphor,"metafora, przenośnia"
abolished,"zniesiony, uchylony, zlikwidowany"
mold,"pleśń, matryca, model, forma, wzornik, szablon, pleśnieć, spleśnieć, wzorować się, odlewać, kształtować"
semantic,semantyczny
exile,"wygnanie, emigracja, wygnaniec, emigrant, skazać na wygnanie"
concealed,"ukryty, tajny, ukrywać"
hourly,"godzinny, co godzinę"
buddhist,"buddyjski, buddysta, buddystka"
descendants,"potomek, potomkowie, zstępni"
autonomous,"niezależny, autonomiczny"
scrap,"złom, skrawek, odłamek, fragment, odpad, odpadek, potyczka, bójka, porzucić, skreślić, zrezygnować"
adaptive,"adaptacyjny, adaptatywny, przystosowujący się"
pledge,"obiecać, złożyć zastaw, obietnica, zastaw, depozyt, kaucja"
inspected,"skontrolowany, zbadany, sprawdzony, kontrolować, badać, sprawdzać"
shrugged,"wzruszyć ramionami, wzruszać ramionami"
prevalent,"powszechny, rozpowszechniony, dominujący"
bachelor,"kawaler, licencjat, bakałarz, nieżonaty mężczyzna, kawalerka, kawalerski"
paradigm,paradygmat
packet,"paczka, pakiet"
uncommon,"rzadki, niepospolity, nietypowy"
breed,"hodować, rozmnażać się, rasa, typ, rodzaj, gatunek"
fertile,"żyzny, płodny, zapłodniony"
tensile,"rozciągliwy, rozciągalny, ciągliwy"
herald,"herold, zapowiadać, zwiastować"
carol,kolęda
terrain,teren
cult,"kult, sekta, kultowy"
baron,baron
petty,"małostkowy, drobny, nieistotny"
inflammation,"zapalenie, stan zapalny"
tangible,"namacalny, dotykalny, konkretny, zrozumiały"
cherry,"wiśnia, czereśnia, kolor wiśniowy,"
straightforward,"bezpośredni, szczery, prostolinijny, łatwy, nieskomplikowany"
segregation,"segregacja, oddzielenie, rozdział"
intestinal,jelitowy
pleading,"błaganie, apel, uzasadnienie, przemowa, oświadczenie"
distributors,"dystrybutorzy, rozprowadzający"
cedar,"cedr, cedrowy"
violet,"fiołek, fioletowy"
dominance,"dominacja, dominowanie"
obscure,"niejasny, mało znany, zaciemniać, przysłaniać, przyćmiewać"
ammonium,"jon amonowy, kation amonowy, amon"
subsistence,"utrzymanie, środki do życia, podtrzymywanie życia, egzystencja"
berry,"jagoda, owoc jagodowy"
disciplinary,dyscyplinarny
permeability,"przenikalność magnetyczna, przepuszczalność"
hostility,"wrogość, niechęć"
diversion,"objazd, urozmaicenie, odwracanie uwagi, rozpraszanie"
odds,"szansa, prawdopodobieństwo, kurs, przewaga, nierówność, różnica, resztki, sprzeczność (at odds)"
complementary,"komplementarny, uzupełniający"
intercourse,"kontakt, stosunki, rozmowa, konwersacja, stosunek płciowy, stosunek"
prototype,"prototyp, pierwowzór, wzorzec, model"
correspondent,"korespondent, sprawozdawca"
diffraction,dyfrakcja
maid,"pokojówka, panna, dziewczyna, sprzątaczka"
terrace,"taras, trybuna, tarasowy"
feminist,"feminista, feministka, feministyczny"
purification,"oczyszczanie, oczyszczenie"
treatise,"traktat, rozprawa"
sulfate,siarczan
elegant,"elegancki, wytworny, dystyngowany"
alternatively,"alternatywnie, ewentualnie, zamiast tego"
endeavor,"starać się, dążyć, usiłować, usiłowanie, dążenie, staranie"
aerial,"antena, antenowy, powietrzny, lotniczy"
caste,kasta
wicked,"nikczemny, niegodziwy, podły, haniebny, szelmowski, grzeszny, świetny, wspaniały"
compensate,"kompensować, wyrównywać, rekompensować, wynagradzać"
spark,"iskra, wywołać, zapoczątkować, rozpętać"
undesirable,"niepożądany, niechciany"
credibility,"wiarygodność, autentyczność"
antenna,"antena, czułek"
groundwater,"woda gruntowa, poziom wód gruntowych, wody gruntowe"
duct,"kanał, przewód"
polished,"wypolerowany, polerować, lśniący, dopracowany, elegancki"
lecturer,"wykładowca, wykładowczyni"
atlas,"atlas, zbiór map, książkę z mapami"
comprehension,"rozumienie, zrozumienie, pojmowanie"
worldwide,"światowy, ogólnoświatowy, na całym świecie"
bolt,"zasuwa, zapadka, śruba, piorun, grom, ucieczka, skok, przesiewać, zaryglować, jeść łapczywie, rzucić się, odskoczyć"
revolt,"rewolta, bunt, buntować się, odrażać, wzbudzać odrazę, odczuwać odrazę"
contends,"twierdzić, utrzymywać, walczyć, rywalizować"
illumination,"oświetlenie, oświecenie"
mediation,"mediacja, pośrednictwo"
latitude,"szerokość geograficzna, swoboda działania, dowolność"
adsorption,adsorpcja
sulphate,siarczan
instinct,"instynkt, odruch"
strand,"brzeg, wybrzeże, pasmo, nić, włókno, osiąść na mieliźnie"
cosmic,"kosmiczny, kosmosowy"
reconciliation,"pojednanie, pogodzenie, uzgodnienie"
yeast,"drożdże, ferment, zakwas"
cholesterol,cholesterol
hereinafter,"dalej zwany ,poniżej, niżej, w dalszej części dokumentu, dalej w dokumencie"
lest,"aby nie, ażeby nie, żeby nie, na wypadek gdyby"
sludge,"szlam, muł, osad"
nutritional,"odżywczy, żywieniowy, pokarmowy"
newsletter,"biuletyn, newsletter"
omission,"pominięcie, przeoczenie, zaniedbanie"
chorus,"chór, refren"
imitation,"naśladownictwo, imitacja"
premature,przedwczesny
orthodox,"ortodoksyjny, konserwatywny"
mileage,"przebieg, pożytek, korzyść, użytek"
endowment,"dotacja, darowizna"
annex,"aneks, załącznik, przybudówka, anektować, zaanektować, przyłączać"
spectroscopy,spektroskopia
sanitation,"higiena, warunki sanitarne, instalacja sanitarna, urządzenie sanitarne"
reciprocal,"wzajemny, odwzajemnić, dwustronny, bilateralny, zwrotny, odwrotność"
punch,"uderzać, bić, dać pięścią, pięść, uderzenie, poncz, dziurkować, dziurkacz, kasować, kasownik, przebijać, przebijak, poganiać"
inasmuch,"ponieważ, jako że, o tyle, o ile"
fierce,"wściekły, srogi, gwałtowny"
commercially,komercyjnie
aeronautics,aeronautyka
microscopic,mikroskopijny
contradiction,"sprzeczność, zaprzeczenie"
footnote,"przypis, adnotować, umieszczać przypis"
supervisory,nadzorczy
endorsed,popierany
norwegian,"norweski, Norweg, Norweżka, po norwesku"
contaminated,"zanieczyszczony, skażony"
maize,kukurydza
condemnation,"potępienie, skazanie"
coordinator,"koordynator, koordynatorka"
inmates,"więzień, osadzony, więźniowie, osadzeni"
crest,"grzywa, szczyt, grań, grzbiet, kita, pióropusz, czub, klejnot herbowy, fala"
thence,"stamtąd, następnie"
amplifier,wzmacniacz
tan,"opalać się ,opalenizna, kolor jasnobrązowy, garbować"
laundry,"pralnia, pranie"
genre,"rodzaj, gatunek, rodzajowy"
tar,"smoła, smołować, smolisty, archiwum tar, archiwizacja za pomocą tar"
unsatisfactory,"niezadowalający, niewystarczający"
fundamentally,"zasadniczo, fundamentalnie"
excise,"akcyza, wycinać, usuwać"
nationwide,"ogólnonarodowy, ogólnokrajowy, ogólnonarodowo, ogólnokrajowo"
gel,żel
pamphlet,"pamflet, broszura"
fidelity,"wierność, dokładność"
sterile,"bezpłodny, niepłodny, jałowy, sterylny"
multiplied,"mnożony, pomnożony, mnożyć"
arena,arena
technically,"technicznie, z technicznego punktu widzenia, właściwie"
aspirations,"aspiracje, dążenia, pragnienia"
excavation,"wydobycie, wykop, wykopalisko, prace wykopaliskowe"
hen,kura
domination,"dominacja, dominowanie"
appellee,"apelowany, strona pozwanej w apelacji, pozwany, pozwana, oskarżony"
pest,"szkodnik, utrapienie, plaga"
plaza,"plac, rynek, pasaż, centrum handlowe"
prosecutor,"oskarżyciel, prokurator"
unsuccessful,"nieudany, niepomyślny"
porch,"ganek, weranda"
saddle,"siodło, siodełko, antyklina, osiodłać"
cancellation,"anulowanie, odwołanie, unieważnienie"
dale,"dolina, dolinka"
doorway,"otwór drzwiowy, framuga, przejście, wejście"
ounces,"uncja, uncje"
theoretically,teoretycznie
slaughter,"rzeź, ubój, masakra, zabijać, zarzynać"
boulder,głaz
dedication,"poświęcenie, oddanie, dedykacja"
absurd,"absurd, absurdalny, niedorzeczny, bezsens, poczucie absurdu"
proton,proton
java,kawa
decoration,"dekoracja, ozdoba"
parole,"zwolnienie warunkowe, zwalniać warunkowo"
garrison,"garnizon, stacjonować"
lawn,"trawnik, murawa, murawka"
modernization,modernizacja
darling,"kochanie, kochany, kochana, ulubieniec, ulubienica, uroczy"
booklet,"książeczka, broszura"
plague,"dżuma, zaraza, plaga, epidemia, nieszczęście, klęska, dręczyć, nękać"
depletion,"zanikanie, uszczuplenie, zubożenie, wyczerpanie"
venezuela,Wenezuela
communal,"komunalny, gminny, społeczny, wspólny"
torture,"tortura, torturować, dręczyć, męczyć"
imposition,"narzucenie, narzucanie, nałożenie, wymuszenie, nadużycie, nadużywanie, ciężar, danina, podatek, impozycja"
journalism,dziennikarstwo
lengthy,"długi, rozwlekły, przydługi, tasiemcowy"
detached,"odłączony, oderwany, obojętny, bezstronny"
chronicle,"kronika, kronikować"
dissemination,"rozpowszechnianie, rozsiewanie"
archbishop,arcybiskup
susceptibility,"podatność, wrażliwość"
affinity,"podobieństwo, pokrewieństwo, powinowactwo, sympatia, pociąg"
belgian,"belgijski, Belg, Belgijka"
aroused,"pobudzony, wzbudzony, wzbudzać"
durable,"trwały, wytrzymały, solidny, odporny"
fraudulent,"oszukańczy, nieuczciwy, fałszywy, podstępny"
orchard,"sad, sad owocowy"
utter,"zupełny, kompletny, absolutny, wypowiadać, artykułować, wymawiać"
compilation,kompilacja
homer,"zagorzały kibic, fanatyk, home run, przyłożenie"
plurality,"liczba mnoga, wielość, większość, pluralizm"
undue,"nadmierny, przesadny, niewłaściwy, nieuzasadniony"
conversely,odwrotnie
retarded,"opóźniony, spowolniony"
upset,"zdenerwować, zmartwić, zasmucić, zdenerwowany, zmartwiony, przygnębiony, rozstrój żołądka, wypadek, nieszczęśliwy wypadek"
anticipation,"przewidywanie, oczekiwanie, antycypacja, podekscytowanie"
nazi,"nazista, nazistowski, hitlerowiec, hitlerowski"
relay,"retransmisja, sztafeta, przekaźnik, retransmitować, przekazywać"
congressman,kongresmen
modulation,modulacja
jour,"dziennik, czasopismo"
scrutiny,"analiza, badanie, kontrola"
turbulent,"burzliwy, niespokojny, buntowniczy, turbulentny"
starch,"krochmal, skrobia, krochmalić"
dim,"ciemny, słabo oświetlony, przytłumiony, nieinteligentny, przyćmić, przytłumić"
physiol,fizjologia
fabrication,"fałszerstwo, fabrykacja, sfałszowanie, zmyślenie, wymysł, wytworzenie"
asserts,"twierdzi, zapewnia, utrzymuje"
rocket,"rakieta, rukola"
spherical,"sferyczny, kulisty"
convex,wypukły
ambiguous,"wieloznaczny, dwuznaczny, niejasny"
acetate,octan
retrieved,"odzyskać, pobrać, odzyskany, pobrany"
bundle,"tobół, tłumok, tobołek, zawiniątko, paczka, pakunek, wiązka, snop, snopek, zapakować, cisnąć"
chlorine,chlor
crystalline,"krystaliczny, kryształowy, krystalicznie, czysty"
insofar,"o ile, o tyle, o ile"
grievance,"krzywda, skarga, zażalenie, pretensja"
colon,"dwukropek, okrężnica, okrężnicowy"
potent,"potężny, mocny, sugestywny, przekonywujący, skuteczny, sprawny"
frankly,"szczerze, otwarcie"
asphalt,"asfalt, asfaltować, asfaltowy, wyasfaltowany"
amid,"pośród, wśród, pomiędzy"
linen,"płótno, pościel, lniany, płócienny"
agitation,"poruszenie, niepokój, wzburzenie, ożywienie, agitacja"
abolition,"zniesienie, obalenie, abolicja"
unwilling,"niechętny, oporny"
hose,"wąż, wąż ogrodowy, wąż do gaszenia, pończocha, trykot, polewać wodą, wąż gumowy, szlauch"
echo,"echo, odbijać się, powtarzać"
chopped,"posiekany, pokrojony, siekać, ciąć"
pastoral,"sielankowy, pasterski, duszpasterski, pastoralny"
fauna,"fauna, świat zwierzęcy"
marrow,"szpik, rdzeń, istota"
validation,"walidacja, weryfikacja, sprawdzenie, potwierdzenie, uprawomocnienie, zatwierdzenie"
intellect,"intelekt, umysł, rozum, myślenie"
revenge,"zemsta, mścić, pomścić"
confederate,"sprzymierzeniec, konfederat, wspólnik, sprzymierzony, skonfederowany"
interpersonal,międzyludzki
recession,recesja
semiconductor,półprzewodnik
shepherd,pasterz
holt,gaj
buddha,Budda
abruptly,"nagle, raptownie"
neat,"gustowny, wykwintny, schludny, czysty, porządny, przyjemny, zgrabny, kształtny"
exceptionally,wyjątkowo
vocal,"wokalny, głosowy, wokal, wyrażać opinie, głośny, donośny"
preferably,"najlepiej, najchętniej"
yarn,"przędza, opowieść"
solitary,"samotny, samotnik"
trailer,"przyczepa, zwiastun"
indicative,"wskazujący, tryb oznajmujący"
buck,"samiec, dolar, hasać, brykać, opierać się"
conclusive,"rozstrzygający, niezbity, decydujący, ostateczny"
ribs,"żebro, żebra"
specificity,"specyfika, swoistość, specyficzność"
swedish,"szwedzki, Szwed, Szwedka"
inverse,"odwrotny, odwrotność"
gambling,"hazard, gra hazardowa, hazardować"
indebted,"zadłużony, zobowiązany, wdzięczny"
mama,mama
liaison,"łącznik, kontakt, współpraca, romans, schadzka"
utmost,"najwyższy, krańcowy, ostateczny, maksimum"
fetal,"płodowy, embrionalny"
healthcare,opieka zdrowotna
suspicious,"podejrzliwy, podejrzany"
asbestos,azbest
deficient,"niewystarczający, niepełny, wadliwy"
dragon,smok
ozone,ozon
ineffective,nieskuteczny
hypothetical,hipotetyczny
tort,delikt
definitive,"definitywny, pewny, ostateczny, miarodajny"
preclude,"wykluczać, uniemożliwiać"
adversely,"niekorzystnie, niepomyślnie"
advent,"nadejście, nastanie, przybycie"
kinetics,kinetyka
pad,"blok papieru, podkładka, mata, tampon, chata, mieszkanie, poduszka, wypychać, wyściełać"
enlargement,powiększenie
allegedly,"rzekomo, podobno, ponoć, przypuszczalnie"
inquire,"dociekać, wypytywać, rozpytywać, indagować"
confess,"przyznawać się, wyznawać, spowiadać"
stance,"stanowisko, postawa"
glow,"świecić, jarzyć się, żarzyć się, poświata, blask, żar"
elasticity,elastyczność
morocco,"safian, safianowy"
aperture,"otwór, szczelina, przysłona"
sudan,Sudan
cardinal,"kardynał, liczebnik główny, podstawowy, kardynalny"
perpetual,"ciągły, wieczny, nieprzerwany, bezustanny"
appreciable,"dostrzegalny, znaczny, pokaźny"
resemblance,podobieństwo
excludes,"wyklucza, pomija, wyłącza"
practicable,wykonalny
sermon,kazanie
consequent,"wynikowy, następujący"
dome,"kopuła, sklepienie"
platinum,"platyna, platynowy"
coronary,wieńcowy
retailers,"detaliści, sprzedawcy detaliczni"
indemnity,"odszkodowanie, rekompensata, zadośćuczynienie"
asylum,"azyl, schronienie, przytułek"
foliage,listowie
lid,"pokrywa ,dekiel, przykrywka, wieko, powieka"
enlightenment,oświecenie
cyclic,"okresowy, cykliczny"
pneumonia,zapalenie płuc
multitude,"mnogość, mnóstwo, tłum"
oval,"owalny, owal"
descended,"pochodzić z, zstępować, schodzić, opadać"
prone,"skłonny, podatny, mający skłonność"
czechoslovakia,Czechosłowacja
chromatography,chromatografia
admissible,"dopuszczalny, do przyjęcia"
contingency,"ewentualność, przypadek, kontyngencja, nieprzewidziane zdarzenie"
compassion,"współczucie, litość"
compartment,"przedział, komora, przegroda, schowek"
premier,"premier, pierwszy, główny"
wartime,"czas wojny, wojenny"
climatic,klimatyczny
aforesaid,"wyżej wymieniony, wspomniany"
disregard,"lekceważyć, ignorować, lekceważenie"
normative,"normatywny, powinnościowy, dyrektywalny"
royalty,"królewskość, potęga królewska, członek rodziny królewskiej, tantiema, opłata licencyjna"
temptation,"pokusa, kuszenie"
patriotic,patriotyczny
continuance,"trwanie, ciągłość, kontynuacja, ciąg dalszy"
aboriginal,"rdzenny, tubylczy, Aborygen"
mobilization,mobilizacja
stationery,"artykuły papiernicze, przybory papiernicze"
acoustic,akustyczny
leakage,"przeciekanie, upływ"
forfeiture,"konfiskata, utrata"
recurrent,"powtarzać się, periodyczny, okresowy, nawracać, powracać"
squadron,"szwadron, eskadron, eskadra"
explanatory,"objaśniający, wyjaśniający"
tray,"taca, półmisek"
revocation,"odwołanie, unieważnienie"
geometric,geometryczny
plaster,"plaster, banknot, mandat, tynk, gips, gips modelarski, gładź szpachlowa, tynkować, gipsować, oklejać, pokrywać, oblepiać, przyklejać, plastrować, pobić, zbić, zdziesiątkować, leżeć plackiem, płasko"
surety,"gwarancja, poręczenie, żyrant"
abbey,opactwo
cock,"kogut, kurek, fiut, przeładować"
aerospace,"lotniczy, kosmiczny, przestrzeń kosmiczna"
contradictory,sprzeczny
exaggerated,"przesadny, wyolbrzymiony"
lobe,"płatek, płat, klapa"
woven,"pleciony, tkany, utkany"
viral,wirusowy
lattice,"kratownica, krata"
tonnes,tony
microscopy,"mikroskopia, badanie mikroskopowe"
imperialism,imperializm
speculative,"spekulatywny, oparty na przypuszczeniach, teoretyczny, ryzykowny, spekulacyjny, ciekawski, wnikliwy"
axial,osiowy
embryo,"zarodek, embrion"
astronomy,astronomia
universally,"powszechnie, ogólnie, uniwersalnie"
flint,"krzemień, krzesiwo, krzemienny"
asst,"asystent, asystentka"
resurrection,zmartwychwstanie
shit,"gówno, sraczka, srać, kurwa, oszukiwać, żartować, gówniany, kiepski, niemiły, obrzydliwy, okropny, kanalia"
advantageous,"korzystny, pożyteczny"
racism,rasizm
pollen,"pyłek, pyłek kwiatowy"
persistence,"uporczywość, wytrwałość"
epidemic,"epidemia, epidemiczny"
workforce,siła robocza
indifferent,"obojętny, marny, mierny"
rotor,"rotor, wirnik"
legitimacy,"legalność, prawowitość, zasadność"
archaeological,archeologiczny
unanimously,"jednomyślnie, jednogłośnie, zgodnie"
saline,"sól fizjologiczna, roztwór soli, słony, solny"
supervised,"nadzorowany, kontrolowany, pod nadzorem"
biomass,biomasa
infringement,"naruszenie, pogwałcenie, naruszenie prawa"
apparel,"odzież, ubranie, strój, szata"
deployment,"rozmieszczenie, rozlokowanie, wdrożenie"
predecessor,"poprzednik, przodek"
exert,"wywierać, używać"
austrian,"austriacki, Austriak, Austriaczka"
arthritis,"artretyzm, zapalenie stawów"
weary,"zmęczony, znużony, męczący, nużący"
delinquency,"przewinienie, wykroczenie, występek, przestępczość"
fluorescence,fluorescencja
cervical,"szyjny, karkowy, maciczny"
affiliation,"afiliacja, przyłączenie się, powiązanie, przystąpienie, stowarzyszenie, związek"
decorative,"dekoracyjny, ozdobny"
preferable,"preferowany, wskazany, bardziej pożądany"
computational,obliczeniowy
coral,"koral, koralowiec, koralowy"
parade,"parada, pochód, defilada, szpaler"
portuguese,"portugalski, Portugalczyk, Portugalka"
financially,finansowo
solemn,"uroczysty, solenny, poważny, ponury"
torque,moment obrotowy
confinement,"uwięzienie, areszt, ograniczenie, zamknięcie"
coping,radzenie sobie
tribune,"trybun, trybuna"
corrupt,"korumpować, skorumpować, skorumpowany, nieuczciwy, zepsuty"
algebra,algebra
govt,"rząd, władze"
ambiguity,"dwuznaczność, wieloznaczność, niejednoznaczność"
urinary,moczowy
intervene,"interweniować, ingerować, wtrącać się, zakłócać"
recruiting,"rekrutacja, nabór, rekrutować"
presbyterian,"prezbiterianin, prezbiteriański"
grande,"wielki, duży, ogromny"
respiration,oddychanie
albeit,"choć, aczkolwiek"
transmitter,"nadajnik, przekaźnik"
feminine,"kobiecy, żeński, damski"
exploit,"eksploatować, wykorzystywać, wykorzystać, wyzyskiwać, wyczyn, bohaterski czyn, błąd"
arbitrator,rozjemca
residing,"mieszkający, rezydujący, zamieszkały"
seminary,"seminarium duchowne, kolegium duchowne"
diplomacy,dyplomacja
literal,"dosłowny, literalny, dosłownie"
analytic,analityczny
worm,"robak, glista, czołgać się, wić się"
impedance,impedancja
titanium,tytan
ignition,"zapłon, rozpalanie, zapalanie, zapalnik, układ zapłonowy"
advocacy,"rzecznictwo, adwokatura, orędownictwo"
heath,wrzosowisko
ethanol,etanol
innocence,"niewinność, cnota, czystość"
noteworthy,"godny uwagi, godny odnotowania, znaczący"
patron,"stały klient, mecenas, patron, opiekun"
saudi,"saudyjski, Saudyjczyk, Saudyjka"
postmaster,naczelnik poczty
incubation,"inkubacja, wysiadywanie, inkubowanie"
crust,"skorupa, skórka, spód, warstwa powierzchniowa"
inferred,"wnioskowany, wywnioskowany, wnioskować, wywnioskować"
gum,"guma, guma do żucia, dziąsło"
