front_text,back_text,explanation
Referendum ludowe 3xTAK (data),1946-06-30,"„Referendum ludowe 3xTAK” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Sfałszowane wybory do Sejmu Ustawodawczego (data),1947-01-19,"„Sfałszowane wybory do Sejmu Ustawodawczego” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Mała konstytucja (data),1947-02-19,"„Mała konstytucja” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Zjednoczenie PPR i PPS – powstanie PZPR (rok),1948,"„Zjednoczenie PPR i PPS” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Polska przystępuje do RWPG (rok),1949,"„Polska przystępuje do RWPG” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Plan sześcioletni – industrializacja PRL (rok),1950,"„Plan sześcioletni” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Konstytucja PRL (data),1952-07-22,"„Konstytucja PRL” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Utworzenie Układu Warszawskiego (data),1955-05-14,"„Utworzenie Układu Warszawskiego” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Poznański Czerwiec 1956 (data),1956-06-28,"„Poznański Czerwiec 1956” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Październik 1956 – powrót Władysława Gomułki (data),1956-10,"„Październik 1956” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Uwolnienie prymasa Stefana Wyszyńskiego (data),1956-10-26,"„Uwolnienie prymasa Stefana Wyszyńskiego” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
List 34 – protest przeciw cenzurze (data),1964-03-14,"„List 34” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Orędzie biskupów polskich do biskupów niemieckich (data),1965-11-18,"„Orędzie biskupów polskich do biskupów niemieckich” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Obchody Milenium Chrztu Polski (rok),1966,"„Obchody Milenium Chrztu Polski” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Wydarzenia Marca 1968 – protesty i kampania antysemicka (data),1968-03,"„Wydarzenia Marca 1968” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Grudzień 1970 – protesty na Wybrzeżu (data),1970-12,"„Grudzień 1970” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Zmiana I sekretarza – Edward Gierek (data),1970-12-20,"„Zmiana I sekretarza” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Reforma administracyjna – 49 województw (rok),1975,"„Reforma administracyjna” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Powstanie KOR (rok),1976,"„Powstanie KOR” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Protesty w Radomiu i Ursusie (data),1976-06,"„Protesty w Radomiu i Ursusie” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Powstanie ROPCiO (rok),1977,"„Powstanie ROPCiO” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Wybór Karola Wojtyły na papieża Jana Pawła II (data),1978-10-16,"„Wybór Karola Wojtyły na papieża Jana Pawła II” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Pierwsza pielgrzymka Jana Pawła II do Polski (data),1979-06,"„Pierwsza pielgrzymka Jana Pawła II do Polski” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Porozumienia sierpniowe – narodziny Solidarności (data),1980-08,„Porozumienia sierpniowe” dopuściły powstanie niezależnych związków zawodowych po fali strajków 1980 roku. „Solidarność” stała się kluczowym impulsem do erozji systemu komunistycznego.
Rejestracja NSZZ Solidarność (data),1980-09-17,"„Rejestracja NSZZ Solidarność” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Kryzys bydgoski (data),1981-03-19,"„Kryzys bydgoski” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
I Krajowy Zjazd Delegatów Solidarności (data),1981-09,"„I Krajowy Zjazd Delegatów Solidarności” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Wprowadzenie stanu wojennego (data),1981-12-13,"„Wprowadzenie stanu wojennego” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Delegalizacja Solidarności (data),1982-10-08,"„Delegalizacja Solidarności” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Pokojowa Nagroda Nobla dla Lecha Wałęsy (rok),1983,"„Pokojowa Nagroda Nobla dla Lecha Wałęsy” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Zniesienie stanu wojennego (data),1983-07-22,"„Zniesienie stanu wojennego” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Zabójstwo ks Jerzego Popiełuszki (data),1984-10-19,"„Zabójstwo ks Jerzego Popiełuszki” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Amnestia dla więźniów politycznych (rok),1986,"„Amnestia dla więźniów politycznych” to wydarzenie z okresu PRL, gdy państwo znajdowało się w bloku wschodnim. Dotyczyło napięć społecznych, polityki władz i stopniowej erozji systemu."
Strajki 1988 roku – impuls do rozmów (data),1988-08,"„Strajki 1988 roku” był formą presji społecznej na władze lub pracodawców. Często prowadził do ustępstw, zmian politycznych albo zaostrzenia represji."
Początek obrad Okrągłego Stołu (data),1989-02-06,„Początek obrad Okrągłego Stołu” otworzyły drogę do częściowo wolnych wyborów i zmiany ustroju. To jeden z głównych momentów pokojowej transformacji 1989 roku.
Porozumienia Okrągłego Stołu (data),1989-04-05,„Porozumienia Okrągłego Stołu” otworzyły drogę do częściowo wolnych wyborów i zmiany ustroju. To jeden z głównych momentów pokojowej transformacji 1989 roku.
Wybory czerwcowe – przełom polityczny (data),1989-06-04,"„Wybory czerwcowe” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Powołanie rządu Tadeusza Mazowieckiego (data),1989-08-24,„Powołanie rządu Tadeusza Mazowieckiego” należy do czasu przełomu ustrojowego i odchodzenia od systemu komunistycznego. Zmiany z tego roku ukształtowały ramy III Rzeczypospolitej.
Zmiana nazwy państwa na Rzeczpospolita Polska (data),1989-12-29,„Zmiana nazwy państwa na Rzeczpospolita Polska” należy do czasu przełomu ustrojowego i odchodzenia od systemu komunistycznego. Zmiany z tego roku ukształtowały ramy III Rzeczypospolitej.
Rozwiązanie PZPR (data),1990-01,"„Rozwiązanie PZPR” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Pierwsze wybory samorządowe (data),1990-05-27,"„Pierwsze wybory samorządowe” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Wybór Lecha Wałęsy na prezydenta (data),1990-12-09,"„Wybór Lecha Wałęsy na prezydenta” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Pierwsze w pełni wolne wybory parlamentarne (data),1991-10-27,"„Pierwsze w pełni wolne wybory parlamentarne” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Upadek rządu Jana Olszewskiego (data),1992-06-04,"„Upadek rządu Jana Olszewskiego” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Wyjście wojsk rosyjskich z Polski (rok),1993,"„Wyjście wojsk rosyjskich z Polski” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Partnerstwo dla Pokoju – droga do NATO (rok),1994,"„Partnerstwo dla Pokoju” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Wybór Aleksandra Kwaśniewskiego na prezydenta (data),1995-11-19,"„Wybór Aleksandra Kwaśniewskiego na prezydenta” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Uchwalenie Konstytucji RP (data),1997-04-02,"„Uchwalenie Konstytucji RP” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Powódź tysiąclecia – duży kryzys infrastrukturalny (data),1997-09-17,"„Powódź tysiąclecia” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Reforma administracyjna – 16 województw (rok),1998,"„Reforma administracyjna” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Start czterech wielkich reform państwa (data),1999-01-01,"„Start czterech wielkich reform państwa” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Wejście Polski do NATO (data),1999-03-12,"„Wejście Polski do NATO” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Utworzenie Instytutu Pamięci Narodowej – start działania (rok),2000,"„Utworzenie Instytutu Pamięci Narodowej” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Bezpośrednie wybory wójtów burmistrzów i prezydentów miast (rok),2002,"„Bezpośrednie wybory wójtów burmistrzów i prezydentów miast” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Referendum akcesyjne do UE (data),2003-06-07,"„Referendum akcesyjne do UE” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Udział polskich wojsk w Iraku – misja stabilizacyjna (rok),2004,"„Udział polskich wojsk w Iraku” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Wejście Polski do Unii Europejskiej (data),2004-05-01,"„Wejście Polski do Unii Europejskiej” zakończyło wieloletni proces integracji z Zachodem po 1989 roku. Przyniosło dostęp do wspólnego rynku i funduszy, ale też nowe obowiązki regulacyjne."
Wybory prezydenckie – prezydentura Lecha Kaczyńskiego (rok),2005,"„Wybory prezydenckie” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Wejście Polski do strefy Schengen (rok),2007,"„Wejście Polski do strefy Schengen” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Wybory parlamentarne 2007 – zwycięstwo PO (data),2007-10-21,"„Wybory parlamentarne 2007” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Kryzys finansowy – skutki w gospodarce Polski (rok),2008,"„Kryzys finansowy” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
Katastrofa smoleńska (data),2010-04-10,„Katastrofa smoleńska” było tragicznym wydarzeniem o dużych skutkach społecznych i politycznych. Wywołało długotrwałe konsekwencje w życiu publicznym oraz debacie historycznej.
Wybór Bronisława Komorowskiego na prezydenta (data),2010-07-04,"„Wybór Bronisława Komorowskiego na prezydenta” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Wybory parlamentarne 2011 – ponowny rząd PO-PSL (data),2011-10-09,"„Wybory parlamentarne 2011” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
UEFA EURO 2012 w Polsce i Ukrainie (data),2012-06,"„UEFA EURO 2012 w Polsce i Ukrainie” to wydarzenie z III Rzeczypospolitej, związane z transformacją ustrojową i integracją z Zachodem. Wpływało na instytucje państwa, gospodarkę lub pozycję międzynarodową Polski."
